WELL_ID,YEAR,MONTH,WATER_BBL
NWTS-1,2018,OCT,11292
NWTS-1,2018,NOV,5206
NWTS-1,2018,DEC,4368
NWTS-1,2019,JAN,2730
NWTS-1,2019,FEB,1578
NWTS-1,2019,MAR,1389
NWTS-1,2019,APR,1194
NWTS-1,2019,MAY,1565
NWTS-1,2019,JUN,1626
NWTS-1,2019,JUL,949
NWTS-1,2019,AUG,1452
NWTS-1,2019,SEP,2099
NWTS-2,2018,OCT,12449
NWTS-2,2018,NOV,5890
NWTS-2,2018,DEC,5753
NWTS-2,2019,JAN,3965
NWTS-2,2019,FEB,2498
NWTS-2,2019,MAR,2250
NWTS-2,2019,APR,1918
NWTS-2,2019,MAY,2598
NWTS-2,2019,JUN,2705
NWTS-2,2019,JUL,3281
NWTS-2,2019,AUG,2987
NWTS-2,2019,SEP,4188
NWTS-3,2018,OCT,13255
NWTS-3,2018,NOV,6497
NWTS-3,2018,DEC,6320
NWTS-3,2019,JAN,4143
NWTS-3,2019,FEB,2492
NWTS-3,2019,MAR,1815
NWTS-3,2019,APR,1710
NWTS-3,2019,MAY,2019
NWTS-3,2019,JUN,2344
NWTS-3,2019,JUL,2709
NWTS-3,2019,AUG,2539
NWTS-3,2019,SEP,3250
